respondent_id,completion_time_seconds,q01_original_q02_rules_understanding,q02_original_q02_task_engagement,q03_original_q02_non_target_ball_attention,q04_original_q02_ball_size_attention,q05_original_q03_harder_condition,q06_original_q04_response_strategy,q07_original_q13_gravity_understanding,q08_original_q14_zero_gravity_understanding,q09_original_q15_judgment_basis,q10_original_q16_perceived_motion,q11_original_q17_post_confidence_adjustment,q12_original_q18_confidence_seriousness
P218,281,Somewhat matches,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P219,324,Somewhat matches,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P220,417,Somewhat matches,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Rarely
P221,367,Strongly does not match,Neutral,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,Abstract motion unrelated to a physical scene,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,I did not clearly perceive different motion rules between the two conditions,Rarely,Sometimes
P222,555,Somewhat matches,Somewhat matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P223,446,Somewhat matches,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Almost every time,Almost every time
P224,394,Strongly matches,Strongly matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P225,401,Strongly matches,Strongly matches,Somewhat does not match,Somewhat does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Abstract motion unrelated to a physical scene,Downward gravity or acceleration|Candidate landing positions and distance|Intuition or guess,"Other: I felt that zero gravity was only the gravity condition flipped vertically; in other words, zero gravity felt more like upward gravity",Sometimes,Sometimes
P226,353,Neutral,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Rarely,Often
P227,5165,Neutral,Somewhat matches,Somewhat does not match,Neutral,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P228,765,Strongly does not match,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P229,332,Neutral,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P230,580,Somewhat does not match,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Relationship between the two ball sizes|Patterns or experience from previous trials,I did not clearly perceive different motion rules between the two conditions,Sometimes,Almost every time
P231,8076,Neutral,Strongly does not match,Neutral,Neutral,Gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P232,283,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Pre-collision direction and speed,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Never
P233,680,Strongly matches,Strongly matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Candidate landing positions and distance,I thought the balls in both conditions were affected by gravity,Rarely,Often
P234,722,Somewhat matches,Somewhat matches,Somewhat matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P235,584,Neutral,Neutral,Somewhat does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Sometimes,Rarely
P236,628,Somewhat does not match,Somewhat does not match,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P237,760,Somewhat matches,Strongly matches,Strongly does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P238,6387,Somewhat does not match,Neutral,Strongly does not match,Neutral,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Intuition or guess,I did not clearly perceive different motion rules between the two conditions,Rarely,Often
P239,671,Strongly matches,Strongly matches,Somewhat does not match,Somewhat does not match,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P240,670,Somewhat does not match,Neutral,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Relationship between the two ball sizes|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P241,494,Somewhat matches,Neutral,Strongly does not match,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Relationship between the two ball sizes|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Rarely
P242,515,Neutral,Neutral,Neutral,Neutral,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P243,781,Somewhat matches,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Often,Almost every time
P244,388,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Whether post-collision motion remained approximately constant-speed,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P245,110,Neutral,Neutral,Somewhat matches,Somewhat matches,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Rarely,Often
P246,5416,Somewhat does not match,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Often,Often
P247,629,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P248,3826,Somewhat matches,Neutral,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Almost every time,Sometimes
P249,336,Neutral,Somewhat matches,Neutral,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P250,6387,Strongly does not match,Strongly matches,Somewhat does not match,Somewhat does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Patterns or experience from previous trials|Intuition or guess,I thought the balls in neither condition were affected by gravity,Rarely,Often
P251,6003,Somewhat matches,Somewhat matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Relationship between the two ball sizes|Patterns or experience from previous trials|Intuition or guess,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Often,Often
P252,356,Strongly matches,Somewhat matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P253,119,Strongly matches,Strongly matches,Somewhat matches,Strongly does not match,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P254,505,Strongly matches,Strongly matches,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P255,348,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat does not match,Gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Patterns or experience from previous trials|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Almost every time
P256,473,Neutral,Somewhat matches,Neutral,Neutral,Gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P257,535,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P258,5546,Neutral,Strongly matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,I thought the balls in both conditions were affected by gravity,Often,Almost every time
P259,7009,Somewhat does not match,Somewhat does not match,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Abstract motion unrelated to a physical scene,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Never,Sometimes
P260,537,Somewhat does not match,Somewhat matches,Somewhat matches,Somewhat does not match,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Rarely,Often
P261,4940,Strongly matches,Strongly matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P262,484,Somewhat matches,Neutral,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Never,Often
P263,471,Somewhat matches,Strongly matches,Somewhat does not match,Strongly matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P264,281,Neutral,Neutral,Neutral,Neutral,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration,I thought the balls in both conditions were affected by gravity,Rarely,Rarely
P265,431,Somewhat does not match,Strongly matches,Strongly does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P266,794,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Almost every time,Almost every time
P267,111,Strongly matches,Strongly matches,Strongly matches,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Never,Almost every time
P268,510,Strongly matches,Somewhat matches,Somewhat matches,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Sometimes
P269,4463,Strongly does not match,Neutral,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Sometimes,Sometimes
P270,4916,Somewhat matches,Strongly matches,Strongly matches,Strongly matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Often
P271,751,Neutral,Strongly matches,Neutral,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P272,6656,Neutral,Somewhat matches,Somewhat matches,Somewhat matches,Gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Candidate landing positions and distance|Relationship between the two ball sizes|Patterns or experience from previous trials,"I felt that the motion rules differed between the two conditions, but I was unsure whether the difference came from gravity",Often,Often
P273,656,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend|Relationship between the two ball sizes,I thought the balls in neither condition were affected by gravity,Rarely,Sometimes
P274,185,Somewhat does not match,Neutral,Neutral,Somewhat matches,Zero gravity,Answer quickly but risk errors,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P275,567,Strongly does not match,Neutral,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Relationship between the two ball sizes|Intuition or guess,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Sometimes
P276,335,Strongly matches,Strongly matches,Somewhat matches,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P277,4431,Neutral,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,Post-collision motion trend|Candidate landing positions and distance|Relationship between the two ball sizes,I thought the balls in both conditions were affected by gravity,Sometimes,Often
P278,4472,Neutral,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P279,406,Somewhat matches,Somewhat matches,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Often
P280,215,Strongly matches,Strongly matches,Neutral,Somewhat matches,Zero gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Often
P281,1006,Strongly matches,Strongly matches,Strongly does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Relationship between the two ball sizes,I did not clearly perceive different motion rules between the two conditions,Never,Often
P282,781,Strongly matches,Strongly matches,Somewhat does not match,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P283,176,Neutral,Somewhat matches,Neutral,Neutral,Zero gravity,Take more time to ensure accuracy,"2D plane motion after collision, like billiards",3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Post-collision motion trend,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Rarely,Almost every time
P284,5904,Somewhat matches,Somewhat matches,Somewhat matches,Somewhat matches,Gravity,Take more time to ensure accuracy,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Candidate landing positions and distance|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Sometimes,Almost every time
P285,444,Strongly matches,Strongly matches,Neutral,Strongly matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Downward gravity or acceleration|Post-collision motion trend|Candidate landing positions and distance,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Almost every time
P286,949,Neutral,Neutral,Somewhat does not match,Somewhat matches,Zero gravity,Answer quickly but risk errors,3D motion after collision with downward gravitational acceleration; downward gravity should be considered,3D motion after collision under zero or microgravity; downward gravity need not be considered,Pre-collision direction and speed|Downward gravity or acceleration|Relationship between the two ball sizes,"I clearly felt that the balls in the gravity condition were affected by downward gravity, whereas the balls in the zero-gravity condition were not",Often,Sometimes
